CropType,CropDays,SoilMoisture,temperature,Humidity,Irrigation
Sugarcane,196,447,21,68,1
Maize,28,292,25,26,0
Maize,26,296,30,20,0
Paddy,37,292,35,26,0
Sugarcane,76,128,16,80,0
Maize,54,225,25,35,0
Pulse,28,263,31,28,0
Potato,19,195,14,13,0
Sugarcane,156,166,26,16,0
Wheat,26,209,15,51,0
Wheat,35,408,18,52,0
Garden Flowers,127,324,22,66,0
Potato,10,153,17,35,0
Groundnuts,91,399,18,30,1
Coffee,65,202,22,16,0
Sugarcane,162,752,32,28,1
Sugarcane,11,266,30,23,0
Coffee,72,509,18,24,1
Potato,59,395,27,58,1
Maize,74,220,26,35,0
Coffee,83,201,23,18,0
Maize,74,190,36,35,0
Potato,35,411,27,55,1
Pulse,20,189,23,44,0
Wheat,53,564,20,50,1
Garden Flowers,168,297,16,83,0
Sugarcane,188,176,34,41,0
Sugarcane,65,168,34,48,0
Sugarcane,36,879,26,25,1
Coffee,63,343,15,14,0
Garden Flowers,176,502,28,73,1
Groundnuts,71,319,22,28,0
Sugarcane,72,792,34,31,1
Sugarcane,129,559,35,64,1
Sugarcane,29,630,25,60,1
Groundnuts,37,461,26,20,1
Potato,84,607,16,64,1
Groundnuts,11,340,24,48,0
Groundnuts,87,657,30,49,1
Groundnuts,8,334,30,45,0
Wheat,25,700,41,30,1
Garden Flowers,161,500,27,65,1
Potato,83,161,14,23,0
Paddy,46,397,30,26,0
Paddy,16,524,35,38,1
Sugarcane,63,453,26,52,1
Coffee,87,120,25,28,0
Potato,10,230,19,44,0
Sugarcane,160,802,24,66,1
Pulse,84,687,16,48,1
Maize,31,160,26,20,0
Garden Flowers,144,461,19,65,1
Sugarcane,168,302,28,35,0
Potato,55,273,16,18,0
Maize,5,329,33,21,0
Coffee,10,192,17,19,0
Wheat,117,520,25,24,1
Sugarcane,98,314,31,25,0
Garden Flowers,75,600,21,65,1
Groundnuts,57,333,29,51,0
Wheat,109,320,24,35,1
Pulse,62,810,28,28,1
Paddy,141,608,26,43,1
Sugarcane,31,704,36,52,1
Garden Flowers,65,291,29,81,0
Garden Flowers,165,195,27,75,0
Pulse,66,281,24,40,0
Coffee,7,123,25,17,0
Paddy,16,131,22,27,0
Sugarcane,6,637,29,42,1
Sugarcane,184,445,20,69,1
Garden Flowers,109,762,23,69,1
Garden Flowers,92,594,14,65,1
Coffee,17,222,21,16,0
Maize,1,364,27,12,0
Groundnuts,1,580,23,56,1
Pulse,88,174,19,17,0
Coffee,23,510,28,20,1
Sugarcane,72,309,22,29,0
Wheat,35,562,31,22,1
Maize,9,263,22,45,0
Groundnuts,47,154,37,22,0
Maize,43,239,31,17,0
Sugarcane,64,320,16,70,0
Wheat,63,784,16,26,1
Paddy,82,607,29,53,1
Coffee,19,293,31,19,0
Groundnuts,93,341,34,22,1
Wheat,65,432,16,34,0
Coffee,21,171,25,17,0
Wheat,94,350,17,39,0
Garden Flowers,155,394,32,73,1
Sugarcane,104,799,24,30,1
Potato,68,257,17,67,0
Maize,79,660,39,18,1
Paddy,106,619,27,28,1
Groundnuts,117,164,26,42,0
Pulse,77,723,36,45,1
Paddy,11,237,23,17,0
Wheat,48,642,19,63,1
Garden Flowers,106,211,33,70,0
Wheat,36,752,26,48,1
Groundnuts,21,302,31,30,0
Coffee,41,277,31,21,0
Maize,41,339,30,19,1
Paddy,88,456,32,47,1
Coffee,9,128,23,24,0
Sugarcane,54,297,22,31,0
Coffee,67,350,26,19,0
Groundnuts,64,224,27,34,0
Wheat,87,471,15,57,1
Garden Flowers,144,374,30,68,1
Potato,13,554,15,68,1
Sugarcane,86,323,31,27,0
Paddy,2,220,24,30,0
Sugarcane,83,298,37,26,0
Coffee,49,315,31,18,1
Wheat,99,430,21,26,0
Sugarcane,78,778,25,59,1
Coffee,32,311,21,17,0
Sugarcane,174,379,32,30,0
Potato,32,431,17,69,1
Coffee,30,156,17,15,0
Wheat,91,271,25,45,0
Pulse,15,179,27,41,0
Sugarcane,130,657,27,48,1
Pulse,7,325,26,38,1
Sugarcane,182,820,30,45,1
Sugarcane,90,379,26,49,0
Wheat,75,120,16,40,0
Paddy,65,712,20,24,1
Wheat,57,363,24,56,1
Sugarcane,206,167,20,25,0
Paddy,133,326,32,19,0
Wheat,45,607,29,61,1
Coffee,71,316,24,29,1
Groundnuts,92,261,36,32,0
Pulse,62,675,16,39,1
Pulse,3,248,27,25,0
Paddy,70,738,36,38,1
Paddy,30,181,22,24,0
Maize,86,293,26,31,0
Garden Flowers,124,213,28,78,0
Sugarcane,145,216,24,38,0
Potato,46,653,17,65,1
Sugarcane,31,609,24,41,1
Wheat,13,222,27,12,0
Potato,62,264,16,34,0
Sugarcane,206,470,20,62,1
Paddy,137,249,28,22,0
Groundnuts,57,396,35,49,0
Groundnuts,19,746,31,55,1
Garden Flowers,23,444,16,62,1
Groundnuts,62,173,32,19,0
Paddy,53,317,30,38,0
Groundnuts,31,164,30,25,0
Sugarcane,181,631,34,58,1
Sugarcane,154,678,32,28,1
Wheat,24,434,22,22,0
Sugarcane,115,344,25,37,0
Groundnuts,13,217,22,21,0
Garden Flowers,174,442,16,76,1
Paddy,118,149,22,23,0
Potato,54,583,21,54,1
Garden Flowers,10,222,20,60,0
Wheat,5,500,33,26,0
Garden Flowers,94,648,22,65,1
Sugarcane,146,459,29,35,0
Potato,1,180,27,42,0
Garden Flowers,20,448,14,79,1
Coffee,45,127,30,15,0
Sugarcane,75,169,30,41,0
Potato,63,187,26,36,0
Sugarcane,110,541,27,53,1
Wheat,97,436,29,29,0
Maize,81,254,29,45,0
Paddy,116,270,32,15,0
Maize,105,543,31,31,1
Maize,51,331,33,14,0
Paddy,101,365,20,25,0
Wheat,108,123,18,49,0
Sugarcane,9,146,16,72,0
Groundnuts,27,164,23,30,0
Coffee,41,493,16,17,1
Garden Flowers,86,151,29,78,0
Sugarcane,102,136,31,34,0
Coffee,46,461,19,18,1
Sugarcane,61,668,32,70,1
Garden Flowers,169,823,17,68,1
Paddy,48,592,39,39,1
Potato,54,424,23,58,1
Paddy,18,192,20,39,0
Potato,9,557,15,57,1
Groundnuts,38,322,30,20,0
Potato,23,277,26,28,0
Coffee,43,487,21,15,1
Wheat,100,443,18,47,0
Garden Flowers,10,271,27,77,0
Sugarcane,1,440,23,67,1
Paddy,90,823,31,36,1
Groundnuts,51,471,35,31,1
Groundnuts,57,528,22,43,1
Maize,86,710,39,22,1
Sugarcane,174,379,25,21,0
Coffee,62,208,17,17,0
Garden Flowers,167,365,24,63,1
Maize,58,512,25,20,1
Maize,65,683,29,27,1
Potato,7,143,27,26,0
Sugarcane,163,700,34,40,1
Garden Flowers,13,282,32,73,0
Coffee,7,569,21,20,1
Wheat,21,563,19,27,1
Coffee,69,239,17,26,0
Sugarcane,96,213,20,49,0
Potato,48,378,15,60,1
Sugarcane,65,843,29,41,1
Coffee,78,296,23,16,0
Wheat,59,930,22,15,1
Sugarcane,78,243,37,32,0
Maize,18,362,22,31,0
Sugarcane,184,122,26,35,0
Sugarcane,123,166,26,14,0
Coffee,77,349,31,25,0
Sugarcane,178,489,23,47,1
Sugarcane,27,661,29,47,1
Sugarcane,170,374,35,55,1
Wheat,62,990,21,15,1
Sugarcane,60,449,35,70,1
Maize,108,643,21,22,1
Garden Flowers,106,569,21,70,1
Sugarcane,166,505,32,37,1
Wheat,40,310,17,58,1
Paddy,35,773,20,61,1
Maize,77,169,32,43,0
Potato,18,366,23,27,0
Sugarcane,123,736,29,52,1
Garden Flowers,103,312,18,69,0
Wheat,12,273,25,15,0
Garden Flowers,28,439,19,75,1
Coffee,53,180,28,18,0
Potato,62,218,17,24,0
Sugarcane,76,820,35,27,1
Garden Flowers,117,337,28,69,0
Sugarcane,188,676,22,72,1
Paddy,85,392,35,38,0
Wheat,116,323,29,36,0
Potato,112,467,19,63,0
Paddy,15,517,25,26,1
Paddy,50,237,29,13,0
Wheat,89,649,24,26,1
Sugarcane,53,352,32,31,0
Wheat,76,469,22,34,1
Coffee,59,618,29,23,1
Paddy,28,875,32,62,1
Garden Flowers,82,220,18,66,0
Wheat,9,300,21,28,0
Garden Flowers,45,745,24,65,1
Groundnuts,2,610,25,28,1
Wheat,108,340,23,32,0
Wheat,89,383,15,58,1
Maize,103,484,30,20,1
Maize,14,407,37,29,1
Sugarcane,182,539,27,37,1
Paddy,137,818,35,41,1
Potato,20,220,19,38,0
Potato,4,650,15,35,1
Potato,87,301,25,41,1
Sugarcane,116,253,31,21,0
Sugarcane,201,538,22,32,1
Paddy,14,428,23,36,1
Wheat,91,760,27,19,1
Maize,62,683,20,30,1
Potato,25,481,26,22,1
Coffee,69,157,16,23,0
Wheat,97,301,14,52,1
Maize,82,218,20,23,0
Sugarcane,84,836,23,37,1
Maize,104,332,38,30,0
Maize,38,382,38,22,1
Potato,18,207,17,19,0
Potato,84,253,24,19,0
Wheat,77,525,20,23,1
Potato,70,680,20,46,1
Sugarcane,200,228,31,43,0
Coffee,17,355,16,28,1
Sugarcane,8,408,27,69,1
Sugarcane,78,564,35,58,1
Wheat,22,758,16,36,1
Maize,81,687,23,30,1
Groundnuts,67,285,32,37,0
Coffee,83,324,26,29,1
Pulse,31,138,35,33,0
Wheat,1,405,16,43,1
Sugarcane,100,530,19,69,1
Maize,6,345,37,22,1
Wheat,82,136,24,54,0
Sugarcane,168,457,34,20,0
Potato,42,330,16,67,0
Maize,20,677,19,24,1
Garden Flowers,47,220,18,78,0
Paddy,15,330,35,32,0
Coffee,79,743,15,21,1
Sugarcane,3,147,25,31,0
Paddy,108,231,26,16,0
Garden Flowers,29,793,30,76,1
Pulse,24,349,28,34,0
Coffee,69,302,22,16,0
Paddy,88,229,25,34,0
Groundnuts,80,300,28,45,1
Potato,98,632,20,61,1
Potato,1,500,20,60,1
Wheat,89,230,21,53,0
Pulse,38,281,34,41,1
Paddy,37,210,32,14,0
Maize,115,486,24,26,1
Coffee,53,678,24,16,1
Paddy,78,194,26,35,0
Garden Flowers,68,301,15,77,0
Maize,92,203,29,18,0
Wheat,79,326,27,26,1
Potato,24,767,17,20,1
Garden Flowers,161,363,20,68,0
Pulse,93,156,19,22,0
Potato,40,465,24,38,1
Coffee,81,300,16,21,1
Paddy,51,130,35,15,0
Wheat,16,231,30,12,0
Wheat,54,397,28,43,1
Potato,76,459,17,68,0
Sugarcane,42,245,35,22,0
Sugarcane,8,853,31,63,1
Maize,43,522,19,19,1
Wheat,20,330,31,80,0
Maize,20,713,22,33,1
Coffee,49,395,23,27,1
Groundnuts,48,759,21,47,1
Sugarcane,31,230,16,70,0
Maize,22,480,29,22,1
Sugarcane,70,288,35,14,0
Paddy,20,461,30,29,1
Sugarcane,209,303,28,22,0
Sugarcane,28,397,28,27,0
Garden Flowers,69,298,29,72,0
Wheat,75,371,18,46,0
Sugarcane,75,583,37,59,1
Sugarcane,106,629,24,59,1
Wheat,20,765,23,44,1
Coffee,83,446,27,29,1
Maize,94,214,25,15,0
Wheat,86,399,30,20,0
Wheat,66,465,20,45,1
Sugarcane,204,561,32,44,1
Garden Flowers,21,143,18,70,0
Wheat,95,252,19,13,0
Pulse,11,547,30,23,1
Sugarcane,84,130,17,68,0
Maize,22,726,32,20,1
Potato,19,510,21,26,1
Maize,92,405,21,13,0
Wheat,40,138,31,11,0
Sugarcane,119,135,20,31,0
Garden Flowers,15,447,16,70,1
Garden Flowers,88,346,26,81,1
Sugarcane,156,572,36,33,1
Maize,51,365,33,44,0
Garden Flowers,40,222,34,63,0
Sugarcane,141,281,32,32,0
Sugarcane,3,298,34,14,0
Coffee,58,342,26,14,0
Sugarcane,206,745,35,41,1
Potato,49,258,15,36,0
Maize,104,262,35,40,0
Pulse,22,700,25,19,1
Maize,92,220,29,32,0
Sugarcane,48,813,22,46,1
Garden Flowers,102,189,32,69,0
Maize,96,737,30,22,1
Coffee,6,228,15,17,0
Paddy,36,407,23,35,1
Coffee,68,213,17,20,0
Groundnuts,47,450,27,17,0
Coffee,85,410,21,23,1
Garden Flowers,111,430,21,70,1
Groundnuts,58,469,27,18,0
Coffee,88,635,29,25,1
Pulse,91,559,17,35,1
Groundnuts,98,285,26,42,0
Coffee,87,204,23,20,0
Paddy,33,452,21,42,1
Coffee,5,306,30,15,0
Groundnuts,111,534,30,26,1
Groundnuts,23,224,26,19,0
Groundnuts,113,768,26,52,1
Garden Flowers,39,559,32,63,1
Sugarcane,162,379,25,41,0
Paddy,128,738,34,30,1
Sugarcane,200,424,29,50,1
Garden Flowers,167,687,20,76,1
Coffee,63,689,22,19,1
Groundnuts,16,621,22,32,1
Groundnuts,1,205,39,25,0
Potato,50,442,23,26,1
Garden Flowers,84,371,29,75,0
Garden Flowers,116,182,29,82,0
Coffee,22,354,27,29,1
Coffee,10,632,30,23,1
Sugarcane,114,199,25,53,0
Wheat,98,430,18,62,1
Coffee,60,265,21,14,0
Groundnuts,39,210,26,20,0
Sugarcane,28,741,20,61,1
Maize,42,171,26,45,0
Maize,59,316,27,45,0
Coffee,56,184,26,18,0
Paddy,147,374,34,24,0
Coffee,32,673,31,18,1
Garden Flowers,55,220,15,80,0
Wheat,39,350,23,21,0
Coffee,73,557,25,27,1
Coffee,73,303,31,25,0
Wheat,115,411,24,37,0
Sugarcane,62,534,25,38,1
Potato,51,681,15,63,1
Coffee,69,368,31,28,1
Potato,99,344,21,29,0
Wheat,47,428,22,20,0
Potato,96,300,16,12,0
Coffee,9,211,23,20,0
Paddy,70,381,37,34,0
Pulse,73,226,17,37,0
Wheat,90,138,20,13,0
Garden Flowers,101,212,19,78,0
Wheat,75,445,31,31,0
Coffee,70,470,28,25,1
Maize,30,332,23,32,0
Groundnuts,18,346,34,38,0
Potato,83,333,24,29,0
Wheat,65,287,23,53,0
Sugarcane,42,488,26,67,1
Potato,62,199,17,27,0
Groundnuts,85,120,35,50,0
Groundnuts,48,567,32,47,1
Sugarcane,82,550,31,68,1
Paddy,122,742,24,32,1
Paddy,70,666,21,60,1
Coffee,68,327,22,17,1
Coffee,87,311,29,26,0
Groundnuts,100,618,34,41,1
Sugarcane,190,450,26,24,0
Paddy,67,342,34,20,0
Sugarcane,176,588,32,72,1
Garden Flowers,158,223,15,65,0
Sugarcane,7,663,36,63,1
Paddy,25,222,26,24,0
Wheat,41,147,20,19,0
Wheat,26,768,27,21,1
Garden Flowers,85,680,34,71,1
Paddy,62,440,33,26,1
Wheat,36,336,17,20,0
Sugarcane,71,618,24,50,1
Sugarcane,138,736,31,73,1
Coffee,44,180,18,23,0
Groundnuts,12,311,25,43,0
Maize,97,137,30,40,0
Wheat,35,775,20,51,1
Garden Flowers,9,294,27,78,0
Sugarcane,186,534,32,28,1
Groundnuts,102,323,20,33,1
Maize,109,592,39,24,1
Groundnuts,45,791,28,19,1
Garden Flowers,165,275,27,77,0
Groundnuts,20,508,34,18,1
Wheat,49,404,24,32,0
Garden Flowers,14,473,25,79,1
Wheat,98,311,18,63,1
Paddy,106,151,29,21,0
Coffee,47,241,19,23,0
Wheat,63,337,25,44,0
Groundnuts,7,653,20,54,1
Sugarcane,86,685,28,68,1
Garden Flowers,63,355,18,65,0
Wheat,118,599,16,41,1
Maize,13,261,25,36,0
Maize,2,169,26,25,0
Wheat,54,346,30,28,1
Potato,115,678,19,62,1
Paddy,147,177,28,26,0
Paddy,128,297,32,38,0
Wheat,73,775,22,54,1
Wheat,32,762,29,41,1
Wheat,32,479,26,55,1
Maize,19,470,30,24,1
Garden Flowers,94,547,21,74,1
Sugarcane,141,537,34,69,1
Coffee,3,189,22,29,0
Sugarcane,146,655,35,26,1
Sugarcane,22,187,24,47,0
Garden Flowers,67,378,19,72,0
Sugarcane,106,663,26,40,1
Potato,110,310,20,64,0
Potato,27,747,27,63,1
Garden Flowers,72,565,23,78,1
Paddy,93,395,38,31,0
Potato,22,666,24,22,1
Potato,80,167,17,66,0
Wheat,80,687,19,41,1
Sugarcane,44,256,24,20,0
Maize,15,577,38,28,1
Coffee,70,301,19,28,0
Paddy,19,732,21,34,1
Paddy,86,844,23,36,1
Groundnuts,4,383,35,28,1
Sugarcane,148,358,23,74,1
Wheat,13,419,28,44,1
Wheat,17,311,30,29,1
Wheat,93,400,25,18,0
Potato,98,566,14,34,1
Garden Flowers,40,378,33,71,1
Garden Flowers,159,604,33,69,1
Potato,40,322,18,31,0
Paddy,120,687,28,41,1
Maize,21,702,38,23,1
Sugarcane,66,231,32,19,0
Coffee,9,392,24,24,1
Sugarcane,16,351,37,41,1
Wheat,53,782,28,28,1
Garden Flowers,171,360,28,62,1
Potato,28,178,19,67,0
Garden Flowers,160,716,28,79,1
Sugarcane,160,450,28,34,0
Paddy,56,175,23,39,0
Wheat,60,201,15,11,0
Wheat,39,779,14,32,1
Coffee,86,271,15,19,0
Sugarcane,162,139,30,26,0
Maize,101,352,35,19,1
Coffee,26,303,18,21,0
Potato,108,189,21,65,0
Sugarcane,39,421,32,56,1
Potato,71,167,16,16,0
Sugarcane,103,369,24,18,0
Pulse,29,349,28,21,0
Garden Flowers,52,567,19,75,1
Groundnuts,73,406,38,39,1
Sugarcane,51,381,34,40,0
Wheat,60,680,28,33,1
Wheat,58,560,18,49,1
Garden Flowers,82,173,29,73,0
Paddy,74,818,23,54,1
Wheat,83,161,22,47,0
Sugarcane,47,197,30,49,0
Groundnuts,111,768,37,37,1
Garden Flowers,119,160,28,61,0
Groundnuts,28,472,28,23,1
Garden Flowers,5,570,22,80,1
Potato,7,725,28,57,1
Maize,110,511,20,33,1
Sugarcane,104,174,27,37,0
Paddy,94,293,24,29,0
Wheat,29,220,34,32,0
Maize,95,429,27,24,1
Coffee,9,144,15,15,0
Coffee,25,471,29,22,1
Maize,73,578,31,20,1
Wheat,102,793,17,57,1
Maize,38,217,25,32,0
Wheat,79,367,26,31,1
Maize,5,227,25,22,0
Pulse,2,680,19,31,1
Sugarcane,74,469,18,71,1
Groundnuts,35,445,22,30,0
Garden Flowers,6,155,20,63,0
Garden Flowers,77,649,19,68,1
Coffee,58,336,29,15,0
Coffee,4,465,29,15,1
Wheat,110,635,27,22,1
Garden Flowers,20,405,16,74,1
Coffee,16,268,27,20,0
Pulse,52,261,19,37,0
Sugarcane,23,689,24,44,1
Paddy,73,168,24,12,0
Wheat,54,588,17,50,1
Wheat,45,139,14,18,0
Potato,89,595,26,23,1
Groundnuts,59,728,37,32,1
Potato,88,308,29,40,0
Coffee,69,520,17,25,1
Potato,49,375,20,40,1
Sugarcane,184,769,21,55,1
Groundnuts,63,660,25,28,1
Sugarcane,184,226,37,31,0
Potato,89,379,23,38,1
Maize,46,793,23,18,1
Groundnuts,98,678,25,19,1
Garden Flowers,132,128,32,72,0
Sugarcane,12,462,29,44,1
Sugarcane,15,149,18,70,0
Wheat,114,442,15,61,1
Potato,5,167,29,13,0
Sugarcane,111,255,29,26,0
Paddy,54,766,28,41,1
Garden Flowers,48,227,14,60,0
Sugarcane,29,186,18,79,0
Coffee,39,280,15,26,0
Pulse,40,400,25,35,0
Coffee,40,629,17,18,1
Garden Flowers,140,199,33,75,0
Wheat,47,313,30,40,0
Coffee,87,569,22,18,1
Wheat,13,425,33,22,0
Groundnuts,7,682,33,28,1
Paddy,135,613,36,48,1
Potato,18,337,24,28,1
Wheat,78,376,25,58,1
Maize,115,219,37,14,0
Groundnuts,33,189,24,30,0
Garden Flowers,4,220,18,60,0
Coffee,37,240,15,24,0
Pulse,93,183,21,35,0
Maize,113,702,37,29,1
Coffee,62,226,21,15,0
Potato,20,563,23,65,1
Pulse,26,176,20,26,0
Groundnuts,34,542,36,27,1
Paddy,44,161,34,17,0
Groundnuts,10,603,28,28,1
Potato,71,365,19,60,1
Potato,82,290,24,42,0
Wheat,24,336,26,51,0
Potato,66,607,25,62,1
Coffee,69,252,23,16,0
Sugarcane,168,769,37,67,1
Maize,87,378,26,22,1
Wheat,102,378,23,42,1
Sugarcane,47,259,30,49,0
Paddy,75,649,25,31,1
Sugarcane,142,689,32,38,1
Wheat,108,700,19,41,1
Maize,10,582,29,31,1
Coffee,55,221,23,18,0
Paddy,78,123,38,13,0
Groundnuts,37,299,35,50,0
Potato,21,245,25,27,0
Groundnuts,6,156,38,32,0
Sugarcane,209,664,23,45,1
Sugarcane,156,374,30,31,0
Potato,71,202,19,40,0
Maize,58,120,23,16,0
Paddy,130,253,33,28,0
Paddy,84,404,26,57,1
Wheat,11,600,14,57,1
Paddy,103,324,34,32,0
Maize,49,599,32,20,1
Sugarcane,118,178,20,29,0
Groundnuts,75,136,35,35,0
Garden Flowers,91,729,16,66,1
Paddy,130,729,21,51,1
Garden Flowers,77,401,19,64,1
Sugarcane,34,160,34,28,0
Potato,63,268,15,37,1
Wheat,20,166,22,24,0
Sugarcane,61,838,34,72,1
Maize,33,641,37,23,1
Pulse,55,286,24,24,0
Paddy,77,790,33,43,1
Garden Flowers,107,327,18,75,0
Potato,58,377,24,61,1
Pulse,99,264,29,44,0
Garden Flowers,8,450,19,70,1
Wheat,170,677,32,45,0
Paddy,83,359,30,18,0
Wheat,119,139,18,47,0
Sugarcane,45,684,29,53,1
Potato,91,504,16,40,1
Pulse,3,277,18,39,0
Groundnuts,66,230,35,15,0
Garden Flowers,133,170,33,66,0
Sugarcane,46,445,24,62,1
Potato,13,454,19,36,1
Sugarcane,201,599,24,72,1
Maize,46,502,29,21,1
Coffee,84,562,30,19,1
Sugarcane,54,222,17,70,0
Potato,93,688,23,26,1
Pulse,8,320,28,20,0
Groundnuts,3,330,20,52,0
Groundnuts,117,126,33,17,0
Coffee,21,266,29,19,0
Potato,19,355,21,28,0
Sugarcane,28,124,36,47,0
Maize,60,554,32,28,1
Paddy,4,281,37,35,0
Groundnuts,109,226,20,33,0
Coffee,64,183,18,24,0
Garden Flowers,172,228,31,79,0
Sugarcane,177,557,34,67,1
Potato,96,430,18,65,0
Potato,55,328,26,12,0
Garden Flowers,113,349,25,84,0
Paddy,2,323,25,21,0
Paddy,43,643,39,22,1
Potato,87,326,27,32,0
Paddy,134,239,29,39,0
Paddy,77,480,30,34,1
Groundnuts,110,710,23,20,1
Paddy,81,254,33,22,0
Wheat,47,347,26,34,0
Wheat,19,463,23,52,1
Coffee,3,168,25,26,0
Paddy,101,284,34,39,0
Garden Flowers,27,220,18,70,0
Potato,64,600,23,32,1
Potato,83,664,25,39,1
Sugarcane,154,843,35,38,1
Potato,94,330,16,68,0
Wheat,78,191,15,36,0
Paddy,115,698,36,49,1
Groundnuts,23,729,37,24,1
Wheat,93,165,19,45,0
Paddy,48,509,24,20,1
Groundnuts,68,230,21,22,0
Wheat,62,344,14,37,0
Paddy,7,250,22,19,0
Wheat,20,130,23,12,0
Groundnuts,118,380,33,20,1
Garden Flowers,72,714,15,75,1
Sugarcane,209,371,25,59,1
Coffee,71,152,26,24,0
Groundnuts,89,578,28,26,1
Groundnuts,10,583,23,41,1
Sugarcane,150,864,28,36,1
Maize,19,220,22,39,0
Wheat,44,313,27,21,1
Maize,44,220,20,35,0
Sugarcane,85,754,32,31,1
Wheat,101,658,17,57,1
Paddy,24,228,39,28,0
Potato,18,334,19,39,0
Groundnuts,80,789,25,17,1
Wheat,25,314,16,37,0
Potato,79,551,14,48,1
Wheat,3,500,40,22,0
Wheat,160,980,23,22,0
Potato,5,709,27,32,1
Coffee,35,568,28,15,1
Wheat,6,800,21,29,0
Sugarcane,113,131,30,15,0
Wheat,16,311,30,35,1
Paddy,13,200,25,25,0
Sugarcane,41,315,23,38,0
Paddy,34,222,33,12,0
Groundnuts,72,152,29,42,0
Sugarcane,146,375,33,45,0
Garden Flowers,132,249,16,71,0
Groundnuts,93,151,23,43,0
Sugarcane,184,560,35,63,1
Potato,45,253,18,16,0
Maize,79,751,20,24,1
Pulse,30,701,25,32,1
Groundnuts,95,614,22,39,1
Garden Flowers,151,374,28,84,0
Paddy,69,218,36,12,0
Pulse,68,664,37,22,1
Coffee,73,250,23,23,0
Paddy,9,198,39,12,0
Potato,5,629,17,32,1
Sugarcane,62,878,30,49,1
Sugarcane,169,679,29,31,1
Coffee,62,498,18,27,1
Wheat,35,372,19,28,0
Groundnuts,63,627,20,42,1
Sugarcane,194,665,25,52,1
Groundnuts,64,456,24,20,0
Coffee,82,219,24,26,0
Groundnuts,12,398,28,28,0
Sugarcane,142,257,22,35,0
Garden Flowers,65,294,16,83,0
Paddy,19,230,20,16,0
Wheat,119,670,35,45,0
Maize,36,166,28,12,0
Paddy,17,280,34,24,0
Paddy,8,709,33,24,1
Wheat,2,249,18,42,0
Groundnuts,96,459,27,21,0
Paddy,16,719,27,43,1
Sugarcane,169,453,36,22,0
Garden Flowers,120,370,26,71,0
Paddy,51,305,21,13,0
Garden Flowers,73,147,28,76,0
Groundnuts,12,478,30,33,1
Paddy,121,260,20,30,0
Coffee,69,678,27,16,1
Potato,37,269,18,12,0
Garden Flowers,147,774,20,82,1
Groundnuts,4,263,27,16,0
Groundnuts,11,369,29,41,1
Potato,51,373,24,34,1
Coffee,83,474,18,28,1
Wheat,55,507,23,49,1
Potato,13,120,15,25,0
Sugarcane,127,268,33,32,0
Sugarcane,89,297,30,29,0
Wheat,26,627,29,21,1
Sugarcane,120,566,33,64,1
Groundnuts,61,163,31,47,0
Sugarcane,33,350,15,80,0
Paddy,19,703,25,56,1
Wheat,37,700,30,22,1
Coffee,47,459,26,19,1
Wheat,15,161,26,42,0
Wheat,94,345,25,45,0
Wheat,95,600,29,15,1
Wheat,79,427,19,43,0
Potato,62,430,15,65,0
Garden Flowers,48,680,24,79,1
Sugarcane,37,536,21,67,1
Maize,79,375,19,33,0
Wheat,114,508,26,15,0
Paddy,41,292,29,35,0
Sugarcane,135,289,23,52,1
Sugarcane,125,391,21,12,0
Pulse,16,650,30,18,1
Wheat,82,770,23,18,1
Groundnuts,57,238,21,16,0
Coffee,65,567,18,19,1
Sugarcane,113,248,27,30,0
Coffee,71,338,29,22,0
Coffee,9,225,27,26,0
Sugarcane,19,333,36,33,0
Garden Flowers,80,334,24,64,0
Coffee,81,283,29,23,0
Potato,14,519,27,23,1
Potato,23,550,19,35,1
Sugarcane,34,275,24,17,0
Paddy,107,398,20,21,0
Groundnuts,13,162,28,29,0
Maize,51,139,26,27,0
Wheat,35,346,18,24,0
Coffee,68,160,19,16,0
Sugarcane,11,457,31,63,1
Groundnuts,42,164,31,53,0
Garden Flowers,112,404,17,77,1
Wheat,9,120,25,27,0
Sugarcane,203,697,20,71,1
Garden Flowers,158,459,32,66,1
Wheat,106,601,35,35,1
Maize,104,311,28,16,0
Wheat,11,378,14,16,0
Groundnuts,29,348,22,30,0
Wheat,75,123,28,16,0
Potato,1,580,24,57,1
Potato,18,550,21,60,1
Potato,21,185,23,19,0
Sugarcane,23,159,18,65,0
Wheat,49,453,18,23,1
Paddy,142,178,20,13,0
Paddy,130,240,25,19,0
Maize,111,755,27,28,1
Wheat,109,744,25,21,1
Paddy,29,766,39,29,1
Garden Flowers,13,636,15,77,1
Wheat,70,990,24,19,1
Paddy,71,615,28,25,1
Maize,67,220,29,45,0
Sugarcane,202,420,32,61,1
Paddy,62,589,35,27,1
Groundnuts,8,295,31,15,0
Wheat,125,300,32,44,0
Potato,54,657,16,53,1
Groundnuts,94,668,24,46,1
Paddy,57,755,34,54,1
Garden Flowers,25,497,20,60,1
Wheat,83,713,20,29,1
Paddy,21,444,34,23,1
Paddy,101,719,20,22,1
Wheat,55,770,25,58,1
Wheat,59,445,29,39,0
Sugarcane,71,205,20,27,0
Groundnuts,77,204,31,23,0
Garden Flowers,96,278,18,70,0
Paddy,47,450,35,12,1
Sugarcane,135,786,34,39,1
Paddy,61,378,39,16,0
Sugarcane,204,786,20,23,1
Coffee,68,645,24,25,1
Sugarcane,84,788,35,70,1
Paddy,39,834,30,55,1
Sugarcane,195,571,20,54,1
